customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,No,0,Yes,No phone service,DSL,No,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,63.57,0.0,Yes
CUST-00001,Female,0,Yes,No,50,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Two year,No,Credit card (automatic),92.98,4350.12,No
CUST-00002,Male,1,Yes,No,4,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),56.63,210.0,No
CUST-00003,Male,0,No,Yes,12,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,105.67,1225.88,No
CUST-00004,Male,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,One year,No,Credit card (automatic),62.06,1010.7,No
CUST-00005,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),22.08,226.66,No
CUST-00006,Male,0,No,No,47,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.77,862.31,No
CUST-00007,Male,0,Yes,No,24,Yes,No phone service,DSL,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,83.97,1965.18,No
CUST-00008,Male,0,Yes,No,56,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,73.14,3746.26,No
CUST-00009,Female,0,No,Yes,34,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,73.36,2479.45,No
CUST-00010,Male,0,No,Yes,4,Yes,No phone service,No,No,No,Yes,No,No,Yes,One year,No,Mailed check,98.58,361.61,Yes
CUST-00011,Male,1,Yes,No,21,Yes,No,No,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),56.32,1108.21,Yes
CUST-00012,Male,1,Yes,No,56,Yes,No,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,119.54,6158.5,Yes
CUST-00013,Male,0,Yes,Yes,46,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,114.44,4888.74,No
CUST-00014,Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,19.32,999.49,Yes
CUST-00015,Male,1,No,Yes,2,No,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),109.37,207.29,Yes
